PLAYER,TEAM,GP,W,L,MIN,DIST. FEET,DIST. MILES,DIST. MILES OFF,DIST. MILES DEF,AVG SPEED,AVG SPEED OFF,AVG SPEED DEF,Ano
Jeff Ayres,SAS,73,55,18,952,360780,68.3,37,31.3,4.31,4.74,3.9,2013
Jeff Adrien,MIL,53,17,36,962,334742,63.4,33.5,29.9,3.97,4.13,3.8,2013
Jason Thompson,SAC,81,28,53,1979,737658,139.7,74.7,65,4.26,4.46,4.05,2013
Jason Terry,BKN,34,16,18,544,199047,37.7,20.4,17.3,4.16,4.46,3.86,2013
Jason Smith,NOP,31,11,20,830,314659,59.6,31.9,27.7,4.33,4.83,3.87,2013
Jason Maxiell,ORL,34,7,27,488,180491,34.2,18.5,15.6,4.22,4.45,3.96,2013
Jason Collins,BKN,22,16,6,172,57041,10.8,5.7,5.1,3.8,3.78,3.83,2013
Jarvis Varnado,PHI,24,5,19,339,122003,23.1,11.8,11.3,4.1,4.36,3.86,2013
Jarrett Jack,CLE,80,32,48,2252,824733,156.2,85.1,71.1,4.17,4.58,3.77,2013
Jared Sullinger,BOS,74,23,51,2041,709352,134.3,71.2,63.1,3.95,4.14,3.77,2013
Jared Dudley,LAC,74,51,23,1729,654315,123.9,63.6,60.3,4.31,4.58,4.06,2013
Jared Cunningham,SAC,13,5,8,80,30861,5.8,3,2.8,4.35,4.52,4.18,2013
Jannero Pargo,CHA,29,15,14,242,90006,17,9.6,7.4,4.23,4.67,3.77,2013
Jan Vesely,DEN,54,22,32,776,309209,58.6,30.6,27.9,4.54,4.84,4.24,2013
James Southerland,NOP,4,2,2,30,12338,2.3,1.3,1,4.62,4.74,4.48,2013
James Nunnally,PHI,12,3,9,157,60263,11.4,5.9,5.5,4.35,4.68,4.04,2013
James Jones,MIA,20,15,5,236,88402,16.7,8.9,7.8,4.26,4.5,4.01,2013
James Johnson,MEM,52,33,19,956,359044,68,36.2,31.8,4.28,4.51,4.04,2013
James Harden,HOU,73,48,25,2777,903853,171.2,87.3,83.9,3.71,3.89,3.54,2013
James Anderson,PHI,80,19,61,2309,906416,171.7,87,84.6,4.48,4.76,4.22,2013
Jameer Nelson,ORL,68,21,47,2179,755673,143.1,78.2,64.9,3.95,4.25,3.64,2013
Jamal Crawford,LAC,69,47,22,2094,744880,141.1,73.4,67.7,4.05,4.39,3.73,2013
Jamaal Tinsley,UTA,8,0,8,110,40022,7.6,4,3.6,4.02,4.19,3.84,2013
Jamaal Franklin,MEM,21,11,10,162,62025,11.7,6.2,5.6,4.35,4.59,4.19,2013
Jae Crowder,DAL,78,47,31,1254,475375,90,46.9,43.1,4.33,4.52,4.14,2013
JaVale McGee,DEN,5,1,4,79,27503,5.2,2.7,2.5,3.93,3.97,3.89,2013
JR Smith,NYK,74,34,40,2421,849047,160.8,87.1,73.7,3.99,4.2,3.78,2013
JJ Redick,LAC,35,24,11,987,401488,76,40.8,35.2,4.63,5.18,4.11,2013
JJ Hickson,DEN,69,31,38,1859,697990,132.2,68.5,63.7,4.28,4.57,4.01,2013
J.J. Barea,MIN,79,40,39,1471,558127,105.7,60.6,45.1,4.34,4.87,3.78,2013
Ish Smith,PHX,70,39,31,1006,411808,78,40.6,37.4,4.66,4.97,4.36,2013
Isaiah Thomas,SAC,71,26,45,2463,886443,167.9,93.5,74.4,4.11,4.51,3.69,2013
Isaiah Canaan,HOU,22,14,8,252,98370,18.6,9.6,9,4.49,4.82,4.19,2013
Iman Shumpert,NYK,74,36,38,1962,740864,140.3,72.2,68.1,4.3,4.38,4.23,2013
Ian Mahinmi,IND,77,51,26,1248,445448,84.4,44.1,40.3,4.06,4.14,3.98,2013
Ian Clark,UTA,23,3,20,172,67164,12.7,6.6,6.1,4.44,4.7,4.2,2013
Hollis Thompson,PHI,77,18,59,1742,689039,130.5,66.9,63.6,4.51,4.87,4.18,2013
Hilton Armstrong,GSW,15,12,3,97,34764,6.6,3.5,3.1,4.1,4.13,4.07,2013
Henry Sims,PHI,46,11,35,875,325008,61.6,31.6,30,4.23,4.47,4.01,2013
Hedo Turkoglu,LAC,38,27,11,392,145918,27.6,14.4,13.3,4.24,4.56,3.96,2013
Hasheem Thabeet,OKC,23,18,5,192,67417,12.8,6.4,6.3,4.01,4.07,3.9,2013
Harrison Barnes,GSW,77,47,30,2165,840731,159.2,84.3,74.9,4.43,4.83,4.04,2013
Hamady Ndiaye,SAC,14,5,9,74,29147,5.5,3,2.6,4.46,4.89,4.19,2013
Gustavo Ayon,ATL,25,12,13,421,158742,30.1,16,14.1,4.29,4.74,3.88,2013
Greivis Vasquez,TOR,78,46,32,1765,658696,124.8,68.9,55.8,4.27,4.6,3.93,2013
Greg Stiemsma,NOP,55,21,34,1007,373545,70.7,40,30.8,4.22,4.56,3.86,2013
Greg Smith,HOU,11,7,4,100,36467,6.9,3.6,3.3,4.13,4.45,3.83,2013
Greg Oden,MIA,23,16,7,212,76558,14.5,7.4,7.1,4.11,4.14,4.09,2013
Greg Monroe,DET,82,29,53,2689,940867,178.2,92.7,85.5,3.98,4.1,3.85,2013
Gorgui Dieng,MIN,60,32,28,818,292887,55.5,28.5,26.9,4.1,4.2,3.99,2013
Gordon Hayward,UTA,77,23,54,2800,1059880,200.7,114.1,86.6,4.3,4.68,3.89,2013
Goran Dragic,PHX,76,45,31,2668,1027051,194.5,105.9,88.7,4.38,4.83,3.94,2013
Glen Rice,WAS,11,2,9,109,43361,8.2,4.4,3.8,4.52,4.73,4.29,2013
Glen Davis,LAC,68,30,38,1662,571735,108.3,56.7,51.6,3.92,4.05,3.78,2013
Gigi Datome,DET,34,9,25,238,88623,16.8,8.7,8,4.21,4.56,3.84,2013
Giannis Antetokounmpo,MIL,76,14,62,1880,732167,138.7,76,62.7,4.44,4.84,4.02,2013
Gerald Wallace,BOS,58,19,39,1416,503741,95.4,50.8,44.6,4.05,4.25,3.84,2013
Gerald Henderson,CHA,76,39,37,2434,951686,180.2,101.3,79,4.45,4.86,4.02,2013
Gerald Green,PHX,82,48,34,2330,863302,163.5,85.2,78.3,4.23,4.45,4.01,2013
George Hill,IND,76,50,26,2434,879198,166.5,90.1,76.4,4.11,4.32,3.9,2013
Gary Neal,CHA,51,19,32,1088,395685,74.9,42.3,32.7,4.15,4.6,3.69,2013
Garrett Temple,WAS,74,40,34,638,251463,47.6,25.6,22,4.48,4.8,4.15,2013
Gal Mekel,DAL,31,18,13,292,116492,22.1,12.6,9.4,4.54,5.12,3.9,2013
Francisco Garcia,HOU,55,33,22,1083,390531,74,37.6,36.4,4.12,4.28,3.97,2013
Evan Turner,IND,81,29,52,2457,905066,171.4,89.5,81.9,4.2,4.57,3.86,2013
Evan Fournier,DEN,76,35,41,1503,587345,111.2,58.1,53.2,4.44,4.88,4.05,2013
Ersan Ilyasova,MIL,54,10,44,1455,520085,98.5,53.8,44.7,4.07,4.41,3.72,2013
Erik Murphy,CHI,24,13,11,62,24223,4.6,2.6,2,4.45,4.61,4.26,2013
Eric Maynor,PHI,31,11,20,327,125215,23.7,12.6,11.1,4.37,4.61,4.12,2013
Eric Gordon,NOP,64,26,38,2057,750395,142.1,78.1,64,4.15,4.6,3.72,2013
Eric Bledsoe,PHX,43,28,15,1416,509312,96.5,51.2,45.2,4.11,4.38,3.84,2013
Enes Kanter,UTA,80,23,57,2138,765009,144.9,79.1,65.8,4.08,4.21,3.94,2013
Elton Brand,ATL,72,34,38,1392,483966,91.7,48.1,43.6,3.96,4.16,3.76,2013
Elliot Williams,PHI,67,13,54,1157,447384,84.7,41.6,43.1,4.39,4.51,4.29,2013
Elias Harris,LAL,2,1,1,11,4430,0.8,0.4,0.4,4.23,4.76,3.8,2013
Ekpe Udoh,MIL,42,7,35,804,284456,53.9,28.3,25.6,4.03,4.21,3.84,2013
Ed Davis,MEM,63,38,25,956,362698,68.7,36,32.7,4.32,4.47,4.17,2013
Earl Watson,POR,24,17,7,161,61183,11.6,5.8,5.8,4.34,4.31,4.37,2013
Earl Clark,NYK,54,22,32,768,300773,57,30.6,26.3,4.47,4.8,4.12,2013
E'Twaun Moore,ORL,79,22,57,1506,572158,108.4,56.9,51.5,4.34,4.59,4.09,2013
Dwyane Wade,MIA,54,36,18,1775,639354,121.1,63.2,57.9,4.1,4.38,3.84,2013
Dwight Howard,HOU,71,48,23,2396,814504,154.3,81.5,72.8,3.87,4.18,3.58,2013
Dwight Buycks,TOR,14,5,9,146,56111,10.6,5.9,4.7,4.37,4.69,4.02,2013
Drew Gooden,WAS,21,12,9,377,136077,25.8,13.8,12,4.14,4.38,3.9,2013
Draymond Green,GSW,81,50,31,1775,643212,121.8,63,58.8,4.14,4.47,3.83,2013
Doron Lamb,ORL,53,13,40,695,257496,48.8,25.8,23,4.22,4.48,3.96,2013
Dorell Wright,POR,68,48,20,984,371295,70.3,38.3,32,4.29,4.54,4.02,2013
Donatas Motiejunas,HOU,62,42,20,952,377140,71.4,36.4,35,4.51,4.84,4.21,2013
Donald Sloan,IND,48,31,17,392,148069,28,15.5,12.5,4.29,4.51,4.05,2013
Dirk Nowitzki,DAL,80,48,32,2628,876658,166,88.9,77.2,3.8,4.02,3.59,2013
Dionte Christmas,PHX,31,15,16,198,77334,14.6,7.8,6.9,4.43,4.76,4.17,2013
Dion Waiters,CLE,70,28,42,2072,771366,146.1,79.4,66.7,4.22,4.64,3.81,2013
Diante Garrett,UTA,71,23,48,1048,404111,76.5,42.5,34,4.39,4.66,4.09,2013
Dexter Pittman,ATL,2,0,2,3,842,0.2,0.1,0.1,4.27,5.07,3.7,2013
Dewayne Dedmon,ORL,31,7,24,390,149732,28.4,15.1,13.2,4.37,4.69,4.03,2013
Devin Harris,DAL,40,24,16,818,296867,56.2,31.2,25.1,4.14,4.55,3.74,2013
Derrick Williams,SAC,77,29,48,1799,648769,122.9,65.8,57.1,4.12,4.34,3.9,2013
Derrick Rose,CHI,10,5,5,311,120335,22.8,12.5,10.3,4.45,4.88,4.01,2013
Derrick Favors,UTA,73,25,48,2201,806333,152.7,83.5,69.2,4.17,4.39,3.93,2013
Deron Williams,BKN,64,37,27,2059,752686,142.6,76.6,65.9,4.18,4.56,3.8,2013
Derek Fisher,OKC,81,59,22,1428,504251,95.5,50.4,45.1,4.02,4.37,3.69,2013
Dennis Schroder,ATL,48,21,27,622,247685,46.9,25.1,21.8,4.53,4.91,4.16,2013
DeMarre Carroll,ATL,73,37,36,2341,845316,160.1,81.4,78.7,4.11,4.23,3.99,2013
DeMarcus Cousins,SAC,70,28,42,2277,761274,144.2,75.2,69,3.83,3.88,3.76,2013
DeMar DeRozan,TOR,78,44,34,2982,1080107,204.6,113.5,91.1,4.13,4.43,3.8,2013
DeJuan Blair,DAL,78,46,32,1214,420955,79.7,39.7,40.1,3.95,3.95,3.97,2013
DeAndre Liggins,MIA,1,1,0,1,448,0.1,0,0,4.28,0,0,2013
DeAndre Jordan,LAC,82,57,25,2870,989286,187.4,94.2,93.1,3.92,4.15,3.71,2013
David West,IND,80,54,26,2472,805820,152.6,81.8,70.9,3.71,3.89,3.53,2013
David Lee,GSW,68,41,27,2253,814738,154.3,78.4,75.9,4.14,4.43,3.88,2013
Darren Collison,LAC,80,56,24,2069,795233,150.6,76.6,74,4.37,4.61,4.16,2013
Darrell Arthur,DEN,68,33,35,1161,419987,79.5,40.8,38.8,4.12,4.47,3.81,2013
Darius Morris,MEM,27,16,11,313,128267,24.3,12.5,11.7,4.67,4.78,4.52,2013
Darius Miller,NOP,45,14,31,723,255954,48.5,26.3,22.2,4.03,4.23,3.81,2013
Darius Johnson-Odom,PHI,3,0,3,15,6387,1.2,0.6,0.6,4.72,5.21,4.31,2013
Dante Cunningham,MIN,81,39,42,1635,637008,120.6,64.3,56.4,4.43,4.69,4.18,2013
Danny Green,SAS,68,54,14,1651,672381,127.3,68.8,58.5,4.64,5.03,4.25,2013
Danny Granger,LAC,41,31,10,848,305232,57.8,30.7,27.1,4.1,4.28,3.92,2013
Daniel Orton,PHI,22,7,15,251,91408,17.3,9.1,8.2,4.15,4.53,3.79,2013
Damion James,SAS,5,1,4,50,20672,3.9,2.1,1.8,4.66,4.99,4.32,2013
Damian Lillard,POR,82,54,28,2937,1103087,208.9,115,93.9,4.28,4.66,3.89,2013
DJ White,CHA,2,2,0,10,4086,0.8,0.4,0.4,4.68,4.61,4.75,2013
DJ Stephens,MIL,3,0,3,15,5674,1.1,0.6,0.5,4.51,4.88,4.13,2013
D.J. Augustin,CHI,70,43,27,1925,723696,137.1,77.2,59.9,4.29,4.63,3.91,2013
Courtney Lee,MEM,79,47,32,1973,740997,140.3,76.4,63.9,4.28,4.49,4.06,2013
Cory Joseph,SAS,68,52,16,936,388946,73.7,39.6,34,4.73,5.03,4.41,2013
Corey Brewer,MIN,81,40,41,2609,953809,180.6,92.1,88.5,4.16,4.23,4.1,2013
Cole Aldrich,NYK,46,26,20,330,117154,22.2,11.7,10.5,4.04,4.24,3.84,2013
Cody Zeller,CHA,81,42,39,1400,563296,106.7,60.4,46.3,4.59,5.13,4.03,2013
Chuck Hayes,TOR,60,33,27,732,253826,48.1,25.4,22.7,3.96,4.11,3.81,2013
Chris Wright,MIL,8,1,7,126,51095,9.7,5,4.7,4.65,4.89,4.41,2013
Chris Smith,NYK,2,0,2,2,700,0.1,0.1,0.1,3.06,5.84,6.42,2013
Chris Singleton,WAS,25,13,12,250,94872,18,9.7,8.2,4.34,4.53,4.08,2013
Chris Paul,LAC,62,44,18,2171,771808,146.2,77.3,68.9,4.05,4.52,3.62,2013
Chris Kaman,LAL,39,13,26,736,273367,51.8,27,24.8,4.23,4.5,3.97,2013
Chris Johnson,BOS,40,11,29,789,323434,61.3,33,28.3,4.67,5.08,4.27,2013
Chris Douglas-Roberts,CHA,48,26,22,994,373505,70.7,37.6,33.1,4.26,4.46,4.05,2013
Chris Copeland,IND,41,25,16,265,88792,16.8,8.9,7.9,3.81,3.96,3.65,2013
Chris Bosh,MIA,79,53,26,2531,849142,160.8,79.9,80.9,3.82,3.87,3.77,2013
Chris Babb,BOS,14,3,11,132,50429,9.6,5,4.5,4.36,4.64,4,2013
Chris Andersen,MIA,72,49,23,1396,507317,96.1,48,48.1,4.14,4.13,4.14,2013
Chauncey Billups,DET,19,7,12,309,107783,20.4,11.1,9.3,3.97,4.21,3.72,2013
Chase Budinger,MIN,41,21,20,751,273735,51.8,27.6,24.2,4.16,4.51,3.82,2013
Charlie Villanueva,DET,20,5,15,180,64362,12.2,6.6,5.6,4.08,4.36,3.8,2013
Channing Frye,PHX,82,48,34,2312,796756,150.9,82.1,68.8,3.93,4.35,3.52,2013
Chandler Parsons,HOU,74,50,24,2783,1060320,200.8,107.2,93.7,4.34,4.75,3.95,2013
Casper Ware,PHI,9,3,6,116,48141,9.1,4.7,4.4,4.74,5.22,4.32,2013
Cartier Martin,ATL,59,27,32,870,330378,62.6,32.8,29.8,4.36,4.68,4.05,2013
Carrick Felix,CLE,7,2,5,38,15685,3,1.5,1.5,4.72,5.34,4.23,2013
Caron Butler,OKC,55,21,34,1394,472617,89.5,47,42.6,3.85,4,3.71,2013
Carmelo Anthony,NYK,77,35,42,2982,984610,186.5,98.7,87.8,3.76,3.87,3.65,2013
Carlos Boozer,CHI,76,43,33,2141,703653,133.3,71,62.3,3.75,3.87,3.61,2013
Carl Landry,SAC,18,5,13,233,83599,15.8,8.6,7.2,4.08,4.21,3.93,2013
CJ Miles,CLE,51,21,30,984,366531,69.4,37.4,32.1,4.25,4.58,3.92,2013
CJ McCollum,POR,38,21,17,476,188209,35.6,19.4,16.2,4.5,4.89,4.1,2013
C.J. Watson,IND,63,48,15,1193,457869,86.7,46.5,40.2,4.37,4.66,4.08,2013
Byron Mullens,PHI,45,16,29,414,151512,28.7,15,13.7,4.16,4.53,3.82,2013
Brook Lopez,BKN,17,7,10,533,179392,34,17.3,16.6,3.83,3.91,3.73,2013
Brian Roberts,NOP,72,28,44,1667,644935,122.1,67.7,54.4,4.4,4.81,3.99,2013
Brandon Rush,UTA,38,13,25,418,155219,29.4,16.4,13,4.22,4.41,4.02,2013
Brandon Knight,MIL,72,13,59,2400,910228,172.4,95.1,77.3,4.31,4.75,3.87,2013
Brandon Jennings,DET,80,28,52,2728,1028176,194.7,106.1,88.6,4.29,4.69,3.89,2013
Brandon Davies,PHI,51,15,36,575,232713,44.1,22.6,21.4,4.61,4.97,4.27,2013
Brandon Bass,BOS,82,25,57,2266,804555,152.4,80.9,71.5,4.04,4.23,3.84,2013
Brandan Wright,DAL,58,36,22,1077,381443,72.2,36.9,35.3,4.03,4.05,4.01,2013
Bradley Beal,WAS,72,40,32,2494,947693,179.5,94.2,85.3,4.34,4.64,4.06,2013
Boris Diaw,SAS,79,60,19,1974,747885,141.6,77.7,63.9,4.3,4.79,3.83,2013
Blake Griffin,LAC,80,56,24,2863,995833,188.6,96.3,92.3,3.96,4.24,3.7,2013
Bismack Biyombo,CHA,76,41,35,1061,390861,74,39.4,34.7,4.2,4.41,3.98,2013
Bernard James,DAL,30,17,13,146,54526,10.3,5.3,5,4.24,4.27,4.21,2013
Beno Udrih,MEM,41,18,23,643,252330,47.8,26.7,21.1,4.47,4.84,4.08,2013
Ben McLemore,SAC,81,28,53,2169,867044,164.2,89,75.2,4.55,4.81,4.28,2013
Ben Gordon,CHA,19,8,11,279,104667,19.8,10.7,9.1,4.27,4.7,3.85,2013
Avery Bradley,BOS,60,19,41,1855,716393,135.7,70.8,64.9,4.39,4.58,4.2,2013
Austin Rivers,NOP,69,27,42,1339,495236,93.8,52.6,41.2,4.21,4.58,3.82,2013
Austin Daye,SAS,22,16,6,148,55259,10.5,5.7,4.7,4.26,4.4,4.01,2013
Arron Afflalo,ORL,73,21,52,2552,936424,177.4,97.4,79.9,4.18,4.51,3.84,2013
Aron Baynes,SAS,53,41,12,491,185258,35.1,19,16.1,4.3,4.63,3.97,2013
Arnett Moultrie,PHI,12,0,12,187,71822,13.6,7.1,6.5,4.36,4.83,3.95,2013
Arinze Onuaku,CLE,5,2,3,30,11203,2.1,1.1,1,4.18,4.72,3.72,2013
Archie Goodwin,PHX,52,32,20,533,208590,39.5,20.9,18.6,4.45,4.72,4.19,2013
Anthony Tolliver,CHA,63,32,31,1281,483170,91.5,50.7,40.8,4.3,4.61,3.96,2013
Anthony Randolph,DEN,43,15,28,527,195320,37,19.5,17.5,4.22,4.63,3.85,2013
Anthony Morrow,NOP,76,32,44,1426,519863,98.5,53.2,45.2,4.15,4.36,3.93,2013
Anthony Davis,NOP,67,29,38,2358,855471,162,85.5,76.5,4.13,4.36,3.91,2013
Anthony Bennett,CLE,52,20,32,663,251750,47.7,25.5,22.2,4.33,4.78,3.91,2013
Antawn Jamison,LAC,22,15,7,248,96750,18.3,9.6,8.7,4.45,4.93,4.01,2013
Andris Biedrins,UTA,6,0,6,45,16267,3.1,1.7,1.4,4.17,4.71,3.66,2013
Andrew Nicholson,ORL,76,19,57,1174,431208,81.7,43.1,38.6,4.19,4.41,3.97,2013
Andrew Bynum,IND,26,11,15,516,166529,31.5,16.6,14.9,3.72,3.78,3.64,2013
Andrew Bogut,GSW,66,39,27,1745,599475,113.5,59.2,54.3,3.93,4.33,3.56,2013
Andrei Kirilenko,BKN,44,29,15,836,316537,60,32.2,27.7,4.34,4.54,4.12,2013
Andrea Bargnani,NYK,42,15,27,1257,419736,79.5,42.1,37.4,3.81,3.88,3.73,2013
Andre Roberson,OKC,40,30,10,399,162296,30.7,14.9,15.8,4.64,4.74,4.54,2013
Andre Miller,WAS,57,32,25,968,326954,61.9,33.6,28.3,3.86,4.18,3.54,2013
Andre Iguodala,GSW,63,41,22,2040,746560,141.4,72,69.4,4.2,4.54,3.89,2013
Andre Drummond,DET,81,29,52,2619,950655,180,93.6,86.4,4.14,4.29,3.98,2013
Andray Blatche,BKN,72,39,33,1591,546334,103.5,54.3,49.1,3.94,4.07,3.79,2013
Anderson Varejao,CLE,65,25,40,1800,698781,132.3,69.1,63.2,4.41,4.63,4.19,2013
Amir Johnson,TOR,76,42,34,2181,787133,149.1,78.6,70.4,4.11,4.23,3.98,2013
Amar'e Stoudemire,NYK,65,26,39,1466,501877,95.1,49.4,45.7,3.9,3.92,3.88,2013
Alonzo Gee,CLE,65,29,36,1020,407623,77.2,40.3,36.9,4.56,4.82,4.31,2013
Allen Crabbe,POR,15,12,3,100,36960,7,3.8,3.2,4.21,4.46,3.94,2013
Alexis Ajinca,NOP,56,22,34,951,355999,67.4,37,30.5,4.26,4.53,3.99,2013
Alexey Shved,MIN,63,28,35,664,253863,48.1,25.9,22.2,4.35,4.63,4.07,2013
Alex Len,PHX,42,24,18,362,138315,26.2,14.1,12.1,4.35,4.62,4.07,2013
Alec Burks,UTA,78,24,54,2193,826448,156.5,85.5,71.1,4.3,4.5,4.09,2013
Alan Anderson,BKN,77,42,35,1745,618525,117.1,60,57.2,4.04,4.1,3.99,2013
Al-Farouq Aminu,NOP,80,33,47,2045,794425,150.5,80.8,69.7,4.43,4.75,4.1,2013
Al Jefferson,CHA,72,37,35,2517,841997,159.5,84.4,75,3.81,3.92,3.68,2013
Al Horford,ATL,29,16,13,958,342407,64.8,33.5,31.4,4.08,4.43,3.78,2013
Al Harrington,WAS,33,20,13,497,173627,32.9,17.3,15.6,4,4.19,3.8,2013
Adonis Thomas,PHI,6,2,4,38,15219,2.9,1.5,1.4,4.64,5.21,4.16,2013
Aaron Gray,SAC,36,11,25,348,129121,24.5,13.4,11,4.23,4.49,3.91,2013
Aaron Brooks,DEN,72,42,30,1557,577992,109.5,55.4,54.1,4.23,4.49,3.99,2013
AJ Price,MIN,28,15,13,99,37813,7.2,4,3.1,4.37,4.62,3.96,2013
Zoran Dragic,MIA,16,6,10,75,28711,5.4,2.9,2.5,4.3,4.95,3.73,2014
Zaza Pachulia,MIL,72,33,39,1702,594822,112.7,55.2,57.4,3.99,4.07,3.91,2014
Zach Randolph,MEM,71,51,20,2304,795011,150.6,79.8,70.8,3.93,4.02,3.83,2014
Zach LaVine,MIN,76,15,61,1867,732686,138.8,75.5,63.2,4.46,4.87,4.05,2014
Xavier Henry,LAL,9,1,8,86,32355,6.1,3.2,2.9,4.28,4.65,3.93,2014
Wilson Chandler,DEN,78,28,50,2471,902947,171,90.3,80.7,4.16,4.49,3.85,2014
Willie Green,ORL,52,15,37,951,347891,65.9,34.4,31.5,4.17,4.47,3.89,2014
Will Cherry,TOR,8,6,2,69,26190,5,2.6,2.3,4.32,4.42,4.05,2014
Will Bynum,WAS,7,4,3,67,23792,4.5,2.5,2,4.06,4.34,3.75,2014
Will Barton,DEN,58,30,28,984,382611,72.5,39.3,33.2,4.42,4.84,4.01,2014
Wesley Matthews,POR,60,41,19,2024,759308,143.8,79.8,64.1,4.27,4.68,3.86,2014
Wesley Johnson,LAL,76,20,56,2245,799950,151.5,80.1,71.4,4.05,4.18,3.92,2014
Wayne Ellington,LAL,65,18,47,1675,629340,119.2,65.3,53.9,4.28,4.6,3.94,2014
Vince Carter,MEM,66,45,21,1091,385591,73,39.6,33.4,4.03,4.38,3.68,2014
Victor Oladipo,ORL,72,22,50,2573,970351,183.8,97.2,86.5,4.31,4.61,4,2014
Victor Claver,POR,10,6,4,76,28401,5.4,2.9,2.5,4.26,4.74,3.82,2014
Vander Blue,LAL,2,0,2,74,27515,5.2,3,2.2,4.24,4.56,3.87,2014
Udonis Haslem,MIA,61,30,31,982,337043,63.8,34.5,29.4,3.91,4.03,3.79,2014
Tyson Chandler,DAL,75,47,28,2286,776665,147.1,74.7,72.4,3.87,4.01,3.73,2014
Tyrus Thomas,MEM,2,2,0,7,2118,0.4,0.2,0.2,3.68,3.55,3.83,2014
Tyreke Evans,NOP,79,43,36,2690,948488,179.6,100.1,79.6,4.01,4.36,3.65,2014
Tyler Zeller,BOS,82,40,42,1731,640693,121.3,63.8,57.6,4.21,4.58,3.87,2014
Tyler Johnson,MIA,32,15,17,603,231222,43.8,22.7,21.1,4.37,4.59,4.14,2014
Tyler Hansbrough,TOR,74,45,29,1058,384034,72.7,37.4,35.3,4.13,4.17,4.08,2014
Tyler Ennis,MIL,33,11,22,411,164872,31.2,17.1,14.1,4.55,5.03,4.08,2014
Ty Lawson,DEN,75,29,46,2665,938196,177.7,92.5,85.2,4.01,4.29,3.74,2014
Troy Daniels,CHA,46,14,32,392,159154,30.1,16.5,13.6,4.61,4.98,4.22,2014
Tristan Thompson,CLE,81,53,28,2168,817081,154.8,83.1,71.7,4.28,4.51,4.04,2014
Trey Burke,UTA,76,35,41,2288,854526,161.8,91.3,70.5,4.25,4.61,3.87,2014
Trevor Booker,UTA,79,37,42,1564,583993,110.6,61.1,49.5,4.26,4.53,3.97,2014
Trevor Ariza,HOU,81,55,26,2896,1038343,196.7,102,94.7,4.08,4.29,3.88,2014
Travis Wear,NYK,50,7,43,651,254946,48.3,26.2,22.1,4.46,4.77,4.13,2014
Toure' Murry,UTA,5,3,2,18,7362,1.4,0.7,0.7,4.62,5.59,3.93,2014
Tony Wroten,PHI,30,4,26,895,336880,63.8,35.3,28.5,4.28,4.76,3.81,2014
Tony Snell,CHI,72,43,29,1412,529037,100.2,54,46.2,4.27,4.53,4,2014
Tony Parker,SAS,68,48,20,1953,792688,150.1,86.8,63.4,4.62,5.21,4.01,2014
Tony Allen,MEM,63,46,17,1648,613377,116.2,61.4,54.8,4.24,4.48,3.99,2014
Toney Douglas,NOP,12,7,5,177,72009,13.6,7.3,6.3,4.66,4.96,4.36,2014
Tobias Harris,ORL,68,20,48,2369,869972,164.8,88.1,76.7,4.19,4.5,3.87,2014
Timofey Mozgov,CLE,81,49,32,2046,786561,149,80.1,68.8,4.38,4.71,4.04,2014
Tim Hardaway Jr.,NYK,69,16,53,1656,612600,116,64.4,51.7,4.21,4.54,3.88,2014
Tim Frazier,POR,11,3,8,239,96058,18.2,9.9,8.3,4.57,5.04,4.11,2014
Tim Duncan,SAS,77,53,24,2227,751035,142.2,76.5,65.7,3.83,4.06,3.6,2014
Tiago Splitter,SAS,52,34,18,1030,387219,73.3,39.4,34,4.28,4.63,3.95,2014
Thomas Robinson,PHI,54,26,28,798,302085,57.2,30.7,26.5,4.32,4.53,4.09,2014
Thaddeus Young,BKN,75,25,50,2407,877866,166.3,89.5,76.7,4.15,4.45,3.84,2014
Thabo Sefolosha,ATL,52,43,9,976,367233,69.6,36.2,33.4,4.3,4.54,4.07,2014
Terrence Ross,TOR,82,49,33,2092,797732,151.1,81.2,69.9,4.34,4.58,4.09,2014
Terrence Jones,HOU,33,24,9,889,321916,61,32.2,28.8,4.12,4.48,3.78,2014
Tayshaun Prince,DET,58,27,31,1397,506687,96,51.9,44,4.12,4.4,3.83,2014
Tarik Black,LAL,62,24,38,1178,436679,82.7,44.6,38.1,4.21,4.41,4,2014
Taj Gibson,CHI,62,38,24,1692,590926,111.9,59.2,52.7,3.98,4.16,3.79,2014
T.J. Warren,PHX,40,17,23,614,237719,45,23.3,21.7,4.4,4.55,4.24,2014
Steven Adams,OKC,70,37,33,1771,645333,122.2,64,58.2,4.17,4.42,3.92,2014
Steve Novak,OKC,35,12,23,197,74435,14.1,8,6.1,4.29,4.78,3.78,2014
Steve Blake,POR,81,51,30,1529,594875,112.7,63.4,49.3,4.44,4.95,3.91,2014
Stephen Curry,GSW,80,67,13,2613,1012949,191.8,102,89.9,4.34,5.08,3.73,2014
Spencer Hawes,LAC,73,52,21,1274,462069,87.5,45.4,42.1,4.13,4.36,3.91,2014
Spencer Dinwiddie,DET,34,12,22,455,168451,31.9,17.6,14.3,4.19,4.58,3.81,2014
Solomon Hill,IND,82,38,44,2381,865128,163.9,88.2,75.7,4.14,4.27,4,2014
Sim Bhullar,SAC,3,1,2,3,691,0.1,0.1,0.1,2.23,4.93,4.09,2014
